emp_id,emp_name,emp_address_street,emp_address_city,emp_address_state,emp_address_zip,email
3001,Arya Stark,5 McFarland,Portland,OR,36559,AryaStark@ricks.com
3002,Arys Oakheart,226 Washington,Portland,OR,36559,ArysOakheart@ricks.com
3003,Barriston Selmy,55 Banksville,Portland,OR,36559,BarristonSelmy@ricks.com
3004,Bowen Marsh,5 Williamsburg,Seattle,WA,65658,BowenMarsh@ricks.com
3005,Bran Stark,2 Longuevue,Seattle,WA,65658,BranStark@ricks.com
3006,Brienne Tarth,6546 Seminole,San Francisco,CA,63256,BrienneTarth@ricks.com
3007,Catelyn Stark,65 Ordale,New York,NY,10010,CatelynStark@ricks.com
3008,Cotter Pyke,226 Mayview,New York,NY,10010,CotterPyke@ricks.com
3009,Jaime Lannister,6 Cedar,New York,NY,10010,JaimeLannister@ricks.com
3010,Janos Slynt,454 Cochran,Boston,MA,18998,JanosSlynt@ricks.com
3011,Jon Connington,987 Beverly,Montpellier,VT,78878,JonConnington@ricks.com
3012,Jorah Mormont,2 Orchard,Concord,NH,98865,JorahMormont@ricks.com
3013,Mace Tyrell,84 Cedarhurst,Tampa,FL,25556,MaceTyrell@ricks.com
3014,Margery Tyrell,898 Folkstone,Birmingham,AL,45125,MargeryTyrell@ricks.com
3015,Nymeria Sand,2666 Greenhurst,New Orleans,LA,15642,NymeriaSand@ricks.com
3016,Petyr Balish,85 Shady,Charleston,SC,15213,PetyrBalish@ricks.com
3017,Quenten Martell,798 Hillview,Philadelphia,PA,32666,QuentenMartell@ricks.com
3018,Ramsey Snow,789 Lindendale,Tampa,FL,25556,RamseySnow@ricks.com
3019,Roose Bolton,555 Hazel,Orlando,FL,25584,RooseBolton@ricks.com
3020,Sam Tarly,5 Aldine,Birmingham,AL,44456,SamTarly@ricks.com
3021,Sansa Stark,6 Diversey,San Francisco,CA,63256,SansaStark@ricks.com
3022,Theon Greyjoy,5646 Halstead,Los Angeles,CA,32665,TheonGreyjoy@ricks.com
3023,Tywin Lannister,23 Southport,Los Angeles,CA,32665,TywinLannister@ricks.com
3024,Victarion Greyjoy,54 Addison,Oakland,CA,65325,VictarionGreyjoy@ricks.com
3025,Robert Baratheon,564 Clark,Hartford,CT,54885,RobertBaratheon@ricks.com
3026,Joanna Lannister,568 Lakeview,New York,NY,10010,JoannaLannister@ricks.com
3027,Loras Tyrell,87 Wolfram,New York,NY,10010,LorasTyrell@ricks.com
3028,Aegon Targaryen,987 Polk,Los Angeles,CA,32665,AegonTargaryen@ricks.com
3029,Elia Martell,98 Harrison,San Diego,CA,65332,EliaMartell@ricks.com
3030,Areo Hotah,78 Independence,San Diego,CA,65332,AreoHotah@ricks.com
3031,Hugor Hill,5 Dupont,San Diego,CA,65332,HugorHill@ricks.com
3032,Azor Ahai,55655 Maple,San Francisco,CA,63256,AzorAhai@ricks.com
3033,Jon Snow,75 Broadway,New York,NY,10001,JonSnow@ricks.com
3034,Cersei Lannister,400 Palm,Miami,FL,65993,CerseiLannister@ricks.com
3035,Robb Stark,1800 Liberty,Philadelphia,PA,22888,RobbStark@ricks.com
3036,Dany Targaryen,97 Bay,San Francisco,CA,65488,DanyTargaryen@ricks.com
3037,Mance Rayder,500 38th,New York,NY,10001,ManceRayder@ricks.com
3038,Oberyn Martell,12 Brady,Boston,MA,15663,OberynMartell@ricks.com
3039,Gregor Clegane,642 Sunset,Miami,FL,65993,GregorClegane@ricks.com
3040,Joffrey Baratheon,1200 Peach,Atlanta,GA,14455,JoffreyBaratheon@ricks.com
3041,Eddard Stark,35 Spring,Philadelphia,PA,22888,EddardStark@ricks.com
3042,Asha Greyjoy,977 Hill,San Francisco,CA,65488,AshaGreyjoy@ricks.com
3043,Tyrion Lannister,64 Oak,Portland,OR,66535,TyrionLannister@ricks.com
3044,Davos Seaworth,3700 Horseshoe,Las Vegas,NV,56698,DavosSeaworth@ricks.com
